Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-06-20,6655.79638671875,6677.618669953893,6546.684970543032,6633.974103483606,88138700
2022-06-21,6677.61865234375,6677.61865234375,6590.329519633374,6633.974085988562,44295700
2022-06-22,6546.6845703125,6677.618261718751,6546.6845703125,6655.795979817709,53041800
2022-06-23,6568.5068359375,6612.151399631437,6503.0399903965945,6503.0399903965945,60443000
2022-06-24,6524.86181640625,6633.973218018395,6524.86181640625,6633.973218018395,57956600
2022-06-27,6415.7509765625,6546.684669961735,6415.7509765625,6524.862387728529,76354100
2022-06-28,6372.1064453125,6459.395574700343,6372.1064453125,6372.1064453125,146078100
2022-06-29,6350.2841796875,6459.395591709622,6350.2841796875,6393.928744496348,98517800
2022-06-30,6328.46142578125,6459.395110452587,6328.46142578125,6372.105987338363,101343900
2022-07-01,6328.46142578125,6393.928268116919,6328.46142578125,6372.105987338363,68738800
2022-07-04,6153.88330078125,6350.283831657248,6110.238738364362,6328.461550448804,102238600
2022-07-05,6328.46142578125,6393.928268116919,6197.527741109914,6197.527741109914,69172900
2022-07-06,6372.1064453125,6393.9287276594605,6262.995033577697,6372.1064453125,66801100
2022-07-07,6197.52783203125,6328.46151862346,6197.52783203125,6306.639237524758,86126800
2022-07-08,6241.1728515625,6262.995134260271,6175.706003469187,6219.350568864729,64312400
2022-07-11,6219.35107421875,6284.817927631579,6219.35107421875,6284.817927631579,36830800
2022-07-12,6262.99560546875,6328.462458487587,6241.173321129138,6262.99560546875,34269000
2022-07-13,6110.23876953125,6219.350176130022,6110.23876953125,6197.527894810268,71988200
2022-07-14,6132.0615234375,6197.528372442171,6110.2392404359425,6132.0615234375,83316300
2022-07-15,6110.23876953125,6197.527894810268,6110.23876953125,6197.527894810268,57419900
2022-07-18,6241.1728515625,6241.1728515625,6132.061438073645,6132.061438073645,60077700
2022-07-19,6262.99560546875,6262.99560546875,6197.528752449913,6197.528752449913,59641000
2022-07-20,6459.39501953125,6459.39501953125,6262.994495288745,6284.816775760135,105792900
2022-07-21,6459.39501953125,6459.39501953125,6328.461336702913,6459.39501953125,64337100
2022-07-22,6393.9287109375,6459.395557807167,6372.10642864761,6459.395557807167,38956500
2022-07-25,6372.1064453125,6437.573292353382,6372.1064453125,6415.751010006421,31247600
2022-07-26,6372.1064453125,6437.573292353382,6328.461880618579,6328.461880618579,44379900
2022-07-27,6393.9287109375,6415.750993227389,6350.2841463577215,6393.9287109375,58465500
2022-07-28,6415.7509765625,6503.040105495324,6393.928694329295,6437.573258795706,86909700
2022-07-29,6415.7509765625,6524.862387728529,6415.7509765625,6459.395541028912,131553000
2022-08-01,6546.6845703125,6546.6845703125,6415.75087890625,6415.75087890625,104841600
2022-08-02,6633.9736328125,6655.795914499384,6546.6845060649675,6633.9736328125,106466900
2022-08-03,6655.79638671875,6655.79638671875,6612.151820248463,6655.79638671875,60170600
2022-08-04,6808.5517578125,6808.5517578125,6677.61807016226,6699.4403514373,164221000
2022-08-05,6874.01904296875,6874.01904296875,6743.085346912202,6830.374477616568,118734200
2022-08-08,6874.01904296875,6917.663608320932,6764.907629588294,6874.01904296875,84328900
2022-08-09,6895.84130859375,6961.308156460146,6874.019025971617,6874.019025971617,92875800
2022-08-10,6895.84130859375,6895.84130859375,6743.085330238825,6808.552178105221,104376300
2022-08-11,6939.4853515625,6939.4853515625,6830.373946663719,6852.196227643475,73204700
2022-08-12,6917.6630859375,6961.307647993888,6852.196242852919,6917.6630859375,59381200
2022-08-15,6939.4853515625,6961.307632542256,6895.840789602988,6939.4853515625,81411000
2022-08-16,6961.30859375,6961.30859375,6852.197173785266,6939.486309757053,83556700
2022-08-18,6983.13037109375,7004.952653503417,6874.01895904541,6895.841241455078,86136900
2022-08-19,6895.84130859375,7026.775004326542,6895.84130859375,7026.775004326542,58194900
2022-08-22,6983.13037109375,6983.13037109375,6830.3743942260735,6852.196676635742,97293300
2022-08-23,6895.84130859375,6983.130439082278,6895.84130859375,6983.130439082278,71671800
2022-08-24,6939.4853515625,7004.952194501769,6895.840789602988,6939.4853515625,108892400
2022-08-25,7048.59716796875,7070.419450222524,6895.841192192338,6983.130321207431,99503500
